id_encuestador,latitud,longitud,municipio,municipio_texto,P19_1_texto,P19_2_texto,seccion_electoral,Creation Date,Modified Date
150,18.3549366,-99.5360598,3,Iguala,Iván Hernández Díaz,Beatriz Mojica Morga,150,"Dec 4, 2025 12:55 pm","Dec 4, 2025 1:11 pm"
150,,,3,Iguala,Ninguno (NO LEER),,1538,"Dec 4, 2025 12:55 pm","Dec 4, 2025 1:12 pm"
150,18.3376008,-99.5304987,3,Iguala,Iván Hernández Díaz,,1480,"Dec 4, 2025 12:55 pm","Dec 4, 2025 12:59 pm"
11,,,1,Acapulco,,,11,"Dec 4, 2025 12:55 pm","Dec 4, 2025 12:55 pm"
150,,,3,Iguala,,,1480,"Dec 4, 2025 12:55 pm","Dec 4, 2025 12:55 pm"
150,,,3,Iguala,Iván Hernández Díaz,Félix Salgado Macedonio,1534,"Dec 4, 2025 12:55 pm","Dec 4, 2025 1:07 pm"
149,18.3355708,-99.5310055,3,Iguala,Ninguno (NO LEER),,1524,"Dec 4, 2025 12:55 pm","Dec 4, 2025 1:09 pm"
150,,,3,Iguala,,,1534,"Dec 4, 2025 12:55 pm","Dec 4, 2025 12:55 pm"
150,,,3,Iguala,No respondió (NO LEER),,1534,"Dec 4, 2025 12:55 pm","Dec 4, 2025 1:11 pm"
136,,,3,Iguala,Iván Hernández Díaz,Jacinto González Varona,1485,"Dec 4, 2025 12:55 pm","Dec 4, 2025 1:11 pm"
150,18.3268064,-99.4940802,3,Iguala,Iván Hernández Díaz,Beatriz Mojica Morga,1543,"Dec 4, 2025 12:55 pm","Dec 4, 2025 1:13 pm"
150,,,3,Iguala,,,1526,"Dec 4, 2025 12:56 pm","Dec 4, 2025 12:56 pm"
150,,,3,Iguala,,,1526,"Dec 4, 2025 12:56 pm","Dec 4, 2025 12:56 pm"
123,,,3,Iguala,,,144,"Dec 4, 2025 12:56 pm","Dec 4, 2025 12:59 pm"
150,18.5065353,-88.3241874,3,Iguala,Beatriz Mojica Morga,Esthela Damián Peralta,1519,"Dec 4, 2025 12:56 pm","Dec 4, 2025 1:11 pm"
150,,,3,Iguala,,,1522,"Dec 4, 2025 12:56 pm","Dec 4, 2025 12:56 pm"
152,,,3,Iguala,Esthela Damián Peralta,Iván Hernández Díaz,1481,"Dec 4, 2025 12:56 pm","Dec 4, 2025 1:03 pm"
150,,,3,Iguala,No sabe (NO LEER),,1538,"Dec 4, 2025 12:56 pm","Dec 4, 2025 1:09 pm"
150,,,3,Iguala,Iván Hernández Díaz,Pablo Amílcar Sandoval Ballesteros,1547,"Dec 4, 2025 12:57 pm","Dec 5, 2025 2:16 pm"
150,,,3,Iguala,No sabe (NO LEER),,1538,"Dec 4, 2025 12:57 pm","Dec 4, 2025 1:09 pm"
150,,,3,Iguala,,,2831,"Dec 4, 2025 12:57 pm","Dec 4, 2025 1:08 pm"
150,,,3,Iguala,,,2831,"Dec 4, 2025 12:57 pm","Dec 4, 2025 12:57 pm"
150,,,3,Iguala,,,1517,"Dec 4, 2025 12:58 pm","Dec 4, 2025 12:58 pm"
123,,,1,Acapulco,,,112,"Dec 4, 2025 12:59 pm","Dec 4, 2025 12:59 pm"
1,,,1,Acapulco,,,20,"Dec 4, 2025 12:58 pm","Dec 4, 2025 12:58 pm"
150,,,3,Iguala,,,1525,"Dec 4, 2025 12:57 pm","Dec 4, 2025 12:57 pm"
150,,,3,Iguala,,,1525,"Dec 4, 2025 12:57 pm","Dec 4, 2025 12:57 pm"
150,,,3,Iguala,,,1240,"Dec 4, 2025 1:21 pm","Dec 4, 2025 1:21 pm"
3111,,,3,Iguala,,,1524,"Dec 4, 2025 1:33 pm","Dec 4, 2025 1:33 pm"
3111,,,3,Iguala,,,1524,"Dec 4, 2025 1:33 pm","Dec 4, 2025 1:33 pm"
153,19.5035185,-101.7668667,3,Iguala,,,1508,"Dec 4, 2025 1:53 pm","Dec 4, 2025 1:53 pm"
200,16.8639515,-99.8822807,1,Acapulco,,,50,"Dec 4, 2025 3:06 pm","Dec 5, 2025 1:15 am"
5,,,1,Acapulco,,,8,"Dec 4, 2025 3:24 pm","Dec 4, 2025 3:24 pm"
150,,,3,Iguala,,,1521,"Dec 4, 2025 3:30 pm","Dec 4, 2025 3:30 pm"
150,,,1,Acapulco,,,157,"Dec 4, 2025 6:14 pm","Dec 4, 2025 6:14 pm"
237,,,2,Chilpancingo,,,1241,"Dec 4, 2025 6:19 pm","Dec 4, 2025 6:19 pm"
238,17.5382159,-99.5196843,2,Chilpancingo,,,1219,"Dec 4, 2025 6:21 pm","Dec 4, 2025 6:39 pm"
237,17.5538483,-99.5020972,2,Chilpancingo,Iván Hernández Díaz,Jacinto González Varona,2583,"Dec 4, 2025 6:19 pm","Dec 4, 2025 6:38 pm"
237,,,2,Chilpancingo,,,2583,"Dec 4, 2025 6:19 pm","Dec 4, 2025 6:19 pm"
237,,,2,Chilpancingo,,,2583,"Dec 4, 2025 6:19 pm","Dec 4, 2025 6:20 pm"
237,,,2,Chilpancingo,,,123,"Dec 4, 2025 6:19 pm","Dec 4, 2025 6:19 pm"
237,,,2,Chilpancingo,,,1570,"Dec 4, 2025 6:19 pm","Dec 4, 2025 6:20 pm"
237,,,2,Chilpancingo,,,2583,"Dec 4, 2025 6:19 pm","Dec 4, 2025 6:19 pm"
237,,,2,Chilpancingo,,,1540,"Dec 4, 2025 6:19 pm","Dec 4, 2025 6:19 pm"
237,17.5479237,-99.494166,2,Chilpancingo,Iván Hernández Díaz,Ninguno (NO LEER),2583,"Dec 4, 2025 6:19 pm","Dec 4, 2025 6:39 pm"
237,,,2,Chilpancingo,,,2583,"Dec 4, 2025 6:19 pm","Dec 4, 2025 6:19 pm"
237,17.5508259,-99.5014623,2,Chilpancingo,Iván Hernández Díaz,Jacinto González Varona,2583,"Dec 4, 2025 6:19 pm","Dec 4, 2025 6:39 pm"
237,17.5538483,-99.5020972,2,Chilpancingo,Iván Hernández Díaz,Jacinto González Varona,1540,"Dec 4, 2025 6:20 pm","Dec 4, 2025 6:41 pm"
237,,,2,Chilpancingo,,,2583,"Dec 4, 2025 6:19 pm","Dec 4, 2025 6:19 pm"
2,17.559052,-99.5026989,2,Chilpancingo,No sabe (NO LEER),,1223,"Dec 4, 2025 6:19 pm","Dec 4, 2025 6:36 pm"
239,17.5324404,-99.4894143,2,Chilpancingo,Iván Hernández Díaz,Ninguno (NO LEER),1648,"Dec 4, 2025 6:20 pm","Dec 4, 2025 6:44 pm"
235,,,2,Chilpancingo,Iván Hernández Díaz,Jacinto González Varona,1257,"Dec 4, 2025 6:19 pm","Dec 4, 2025 6:39 pm"
2375,18.9036351,-99.1624157,2,Chilpancingo,Ninguno (NO LEER),,1584,"Dec 4, 2025 6:19 pm","Dec 4, 2025 6:39 pm"
237,,,2,Chilpancingo,,,2583,"Dec 4, 2025 6:19 pm","Dec 4, 2025 6:19 pm"
123,,,2,Chilpancingo,,,1204,"Dec 4, 2025 6:19 pm","Dec 4, 2025 6:23 pm"
237,17.5449647,-99.4835919,2,Chilpancingo,Iván Hernández Díaz,Esthela Damián Peralta,1203,"Dec 4, 2025 6:19 pm","Dec 4, 2025 6:42 pm"
237,,,2,Chilpancingo,,,1216,"Dec 4, 2025 6:19 pm","Dec 4, 2025 6:19 pm"
231,,,2,Chilpancingo,,,1204,"Dec 4, 2025 6:20 pm","Dec 4, 2025 6:25 pm"
237,,,2,Chilpancingo,,,1209,"Dec 4, 2025 6:19 pm","Dec 4, 2025 6:19 pm"
237,,,2,Chilpancingo,,,1204,"Dec 4, 2025 6:19 pm","Dec 4, 2025 6:23 pm"
237,,,2,Chilpancingo,,,1584,"Dec 4, 2025 6:19 pm","Dec 4, 2025 6:19 pm"
237,,,2,Chilpancingo,,,1545,"Dec 4, 2025 6:19 pm","Dec 4, 2025 6:19 pm"
237,,,2,Chilpancingo,,,1540,"Dec 4, 2025 6:20 pm","Dec 4, 2025 6:20 pm"
237,,,2,Chilpancingo,,,1204,"Dec 4, 2025 6:20 pm","Dec 4, 2025 6:20 pm"
237,,,2,Chilpancingo,,,1257,"Dec 4, 2025 6:20 pm","Dec 4, 2025 6:20 pm"
237,,,2,Chilpancingo,,,1257,"Dec 4, 2025 6:20 pm","Dec 4, 2025 6:20 pm"
237,,,2,Chilpancingo,,,1540,"Dec 4, 2025 6:20 pm","Dec 4, 2025 6:20 pm"
237,,,2,Chilpancingo,,,1279,"Dec 4, 2025 6:20 pm","Dec 4, 2025 6:31 pm"
237,,,2,Chilpancingo,,,1219,"Dec 4, 2025 6:21 pm","Dec 4, 2025 6:21 pm"
